SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,SETTLE_PR,OPEN_INT,CHG_IN_OI,VOLUME,TRADE_DATE,UNDERLYING_PRICE,HIGH_PRICE,LOW_PRICE,OPEN_PRICE,CLOSE_PRICE,LAST_PRICE
NIFTY,30-12-2025,23000.0,CE,2296.05,463950,-6875,487,14-08-2025,24631.3,2345.0,2282.5,2325.0,2296.05,2302.35
NIFTY,30-12-2025,21000.0,CE,4128.5,191050,150,25,14-08-2025,24631.3,4225.0,4111.9,4225.0,4128.5,4126.35
NIFTY,30-12-2025,19000.0,CE,6065.75,10625,0,0,14-08-2025,24631.3,0.0,0.0,0.0,6000.0,6000.0
NIFTY,28-10-2025,26500.0,CE,61.45,208875,-7275,1280,14-08-2025,24631.3,67.75,59.35,67.75,61.45,60.0
NIFTY,28-10-2025,26000.0,CE,129.8,469500,17550,2729,14-08-2025,24631.3,139.05,125.5,133.05,129.8,128.4
NIFTY,28-10-2025,25750.0,CE,394.7,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,534.25,0.0
NIFTY,28-10-2025,25650.0,CE,426.95,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,571.35,0.0
NIFTY,29-06-2027,23000.0,PE,557.25,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,4514.3,0.0
NIFTY,29-06-2027,19000.0,PE,81.0,600,0,0,14-08-2025,24631.3,0.0,0.0,0.0,182.1,182.1
NIFTY,30-06-2026,30000.0,PE,4164.7,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,5541.2,0.0
NIFTY,30-06-2026,28000.0,PE,2670.4,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,6532.55,0.0
NIFTY,30-06-2026,13000.0,PE,0.0,200,0,0,14-08-2025,24631.3,0.0,0.0,0.0,21.6,21.6
NIFTY,31-03-2026,29000.0,PE,3565.3,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,3815.05,0.0
